time,position1-,position2-,v_1,v_2
0.0,147100000000.0,0.0,0.0,2617056000.0
0.08334284735700423,147099840944.3005,218112820.1194887,-3816900.2972053057,2617053170.240209
0.16668569471400846,147099363777.56305,436225168.56050193,-7633791.928057882,2617044680.96787
0.25002854207101266,147098568500.87115,654336573.6415572,-11450666.225941023,2617030532.2040954
0.3333713894280169,147097455116.03052,872446563.6846904,-15267514.524305353,2617010723.9840674
0.4167142367850212,147096023625.56918,1090554667.0172906,-19084328.15678443,2616985256.3570414
0.5000570841420253,147094274032.7374,1308660411.9721024,-22901098.457194783,2616954129.386343
0.5833999314990296,147092206341.5077,1526763326.8872247,-26717816.759535864,2616917343.1493697
0.6667427788560338,147089820556.57346,1744862940.1387405,-30534474.400156885,2616874897.737504
0.7500856262130381,147087116683.34955,1962958780.1193337,-34351062.71640231,2616826793.256166
0.8334284735700423,147084094727.97662,2181050375.1510262,-38167573.0404231,2616773029.825059
0.9167713209270465,147080754697.31738,2399137253.574559,-41983996.70485507,2616713607.577947
1.0001141682840506,147077096598.95636,2617218943.7518797,-45800325.04298098,2616648526.6626506
1.083457015641055,147073120441.20004,2835294974.0661407,-49616549.388730496,2616577787.241045
1.1667998629980592,147068826233.07684,3053364872.9216976,-53432661.07668023,2616501389.489061
1.2501427103550635,147064213984.33707,3271428168.7441134,-57248651.442053735,2616419333.596684
1.3334855577120677,147059283705.45294,3489484389.980155,-61064511.82072148,2616331619.7679563
1.4168284050690718,147054035407.6186,3707533065.0977936,-64880233.54920088,2616238248.2209735
1.5001712524260762,147048469102.75006,3925573722.5862074,-68695807.96465632,2616139219.1878877
1.5835140997830803,147042584803.48532,4143605890.955777,-72511226.40489905,2616034532.9149065
1.6668569471400847,147036382523.18427,4361629098.73809,-76326480.2083873,2615924189.662292
1.7501997944970888,147029862275.92862,4579642874.485936,-80141560.71422623,2615808189.7043624
1.833542641854093,147023024076.52213,4797646746.773314,-83956459.2621679,2615686533.3294897
1.9168854892110974,147015867940.4904,5015640244.195427,-87771167.19261137,2615559220.8401036
2.0002283365681013,147008393884.08093,5233622895.368679,-91585675.84660257,2615426252.5526867
2.083571183925106,147000601924.26315,5451594228.930686,-95399976.56583443,2615287628.797778
2.16691403128211,146992492078.72644,5669553773.564724,-99214060.69371796,2615143349.9198775
2.250256878639114,146984064365.8709,5887501058.109551,-103027919.57906015,2614993416.2770815
2.3335997259961183,146975318804.83316,6105435611.255988,-106841544.56171921,2614837828.2423344
2.4169425733531225,146966255415.4737,6323356961.700834,-110654926.98087616,2614676586.202757
2.500285420710127,146956874218.37363,6541264638.187253,-114468058.17695327,2614509690.559482
2.583628268067131,146947175234.83472,6759158169.504768,-118280929.49161398,2614337141.7276545
2.6669711154241353,146937158486.87927,6977037084.48927,-122093532.26776302,2614158940.1364307
2.7503139627811395,146926823997.2502,7194900912.023012,-125905857.84954634,2613975086.2289786
2.8336568101381436,146916171789.41113,7412749181.034607,-129717897.58235107,2613785580.462479
2.9169996574951482,146905201887.54614,7630581420.499037,-133529642.81280565,2613590423.3081236
3.0003425048521524,146893914316.56003,7848397159.437638,-137341084.88877964,2613389615.2511163
3.0836853522091565,146882309102.0782,8066195926.918119,-141152215.1593839,2613183156.7906733
3.1670281995661607,146870386270.44656,8283977252.054546,-144963024.9749705,2612971048.440022
3.250371046923165,146858145848.73178,8501740664.00735,-148773505.68713272,2612753290.726402
3.3337138942801694,146845587864.72098,8719485691.983326,-152583648.64870512,2612529884.1910644
3.4170567416371735,146832712346.92203,8937211865.235626,-156393445.21376342,2612300829.3892727
3.5003995889941777,146819519324.5633,9154918713.063774,-160202886.7376246,2612066126.890302
3.583742436351182,146806008827.5938,9372605764.813652,-164011964.57684684,2611825777.2774396
3.667085283708186,146792180886.68323,9590272549.877506,-167820670.0892296,2611579781.147984
3.75042813106519,146778035533.22174,9807918597.693945,-171628994.6338135,2611328139.1132464
3.8337709784221947,146763572799.32022,10025543437.74794,-175436929.5708805,2611070851.7985487
3.917113825779199,146748792717.81012,10243146599.57083,-179244466.26195362,2610807919.843226
4.000456673136203,146733695322.2435,10460727612.740307,-183051596.06979722,2610539343.9006243
4.083799520493208,146718280646.893,10678286006.88044,-186858310.35841691,2610265124.6381016
4.167142367850212,146702548726.73694,10895821311.777431,-190664600.49676123,2609985262.7364693
4.250485215207216,146686499597.46442,11113333057.340942,-194470457.8542655,2609699758.890484
4.33382806256422,146670133295.5167,11330820773.291016,-198275873.791239,2609408613.8103456
4.417170909921224,146653449858.05368,11548283989.417078,-202080839.66965145,2609111828.22022
4.500513757278228,146636449322.9531,11765722235.584805,-205885346.8533876,2608809402.8582015
4.5838566046352325,146619131728.8105,11983135041.73611,-209689386.70824695,2608501338.4763126
4.667199451992237,146601497114.93924,12200521937.889162,-213492950.60194406,2608187635.840506
4.750542299349241,146583545521.37048,12417882454.138365,-217296029.9041083,2607868295.7306623
4.833885146706245,146565276988.8532,12635216120.654375,-221098615.98628396,2607543318.9405913
4.91722799406325,146546691558.85425,12852522467.684093,-224900700.22193033,2607212706.278032
5.000570841420254,146527789273.55814,13069801025.550663,-228702273.9864214,2606876458.5646515
5.083913688777258,146508570175.86737,13287051324.653475,-232503328.6570463,2606534576.6360464
5.167256536134262,146489034309.4021,13504272895.468163,-236303855.6130089,2606187061.3417425
5.2505993834912665,146469181718.50043,13721465268.546614,-240103846.23542807,2605833913.545194
5.333942230848271,146449012448.21817,13938627974.51695,-243903291.90733755,2605475134.1237836
5.417285078205275,146428526544.329,14155760544.083548,-247702184.013686,2605110723.9688234
