time,x,y,x_dot,y_dot
0.0,0.9832898881618758,0.0,0.0,0.017491991173547484
0.365621981981982,0.9832694315946697,0.006395412130826447,-0.00011189968726001571,0.01749162726665398
0.731243963963964,0.9832080627868844,0.012790558159056456,-0.00022379448515959835,0.01749053556339216
1.096865945945946,0.9831057844199689,0.019185171994830757,-0.000335679504612165,0.01748871611601685
1.462487927927928,0.9829626009628378,0.025578987573763496,-0.00044754985707880744,0.017486169011615316
1.8281099099099098,0.9827785186716214,0.03197173886967672,-0.0005594006548420634,0.01748289437210104
2.193731891891892,0.9825535455893147,0.03836315990733202,-0.0006712270112796095,0.0174788923542051
2.559353873873874,0.9822876915453276,0.044752984775158704,-0.000783024041137846,0.01747416314946499
2.924975855855856,0.9819809681549276,0.05114094763797667,-0.0008947868608053512,0.017468706984211057
3.2905978378378378,0.9816333888186116,0.057526782749716794,-0.0010065105885861893,0.017462524119550352
3.6562198198198197,0.9812449687213358,0.06391022446613082,-0.0011181903449730057,0.01745561485134814
4.021841801801802,0.9808157248316536,0.07029100725749485,-0.0012298212529199292,0.01744797951020691
4.387463783783784,0.9803456759007838,0.07666886572130754,-0.0013413984381152487,0.01743961846144285
4.753085765765766,0.9798348424615704,0.08304353459497829,-0.0014529170292538205,0.017430532105059893
5.118707747747748,0.9792832468273329,0.08941474876850472,-0.0015643721583091822,0.017420720875721312
5.48432972972973,0.9786909130906142,0.09578224329713886,-0.001675758960805347,0.0174101852427189
5.849951711711712,0.9780578671218239,0.10214575341404146,-0.001787072576088255,0.017398925709939693
6.215573693693694,0.9773841365677839,0.10850501454292336,-0.0018983081475968584,0.01738694281583026
6.5811956756756755,0.9766697508501764,0.11485976231067392,-0.002009460823133815,0.017374237133358537
6.9468176576576575,0.9759147411638972,0.12120973255997529,-0.002120525755135765,0.01736080926997323
7.312439639639639,0.975119140475318,0.12755466136190205,-0.00223149810094317,0.017346659867560742
7.678061621621621,0.9742829835204595,0.13389428502850573,-0.0023423730230696846,0.017331789602399693
8.043683603603604,0.9734063068030777,0.14022834012538332,-0.0024531456894710418,0.017316199185112922
8.409305585585585,0.9724891485926676,0.14655656348422913,-0.002563811273813423,0.017299889360617108
8.774927567567568,0.9715315489222729,0.15287869221535813,-0.002674364955741232,0.017282860908070186
9.140549549549549,0.9705335495860645,0.15919446372019788,-0.002784801921144212,0.017265114640816856
9.506171531531532,0.9694951941372558,0.16550361570380206,-0.0028951173624242165,0.01724665140633034
9.871793513513513,0.9684165278855799,0.1718058861873064,-0.003005306478761162,0.0172274720861528
10.237415495495496,0.9672975978947764,0.17810101352037688,-0.003115364476378407,0.017207577595833044
10.603037477477477,0.9661384529799768,0.18438873639363274,-0.0032252865688074455,0.0171869688848619
10.96865945945946,0.9649391437049858,0.19066879385104482,-0.0033350679771519034,0.017165646936605244
11.33428144144144,0.9636997223794596,0.19694092530230742,-0.003444703930350801,0.01714361276823471
11.699903423423423,0.962420243055986,0.20320487053518418,-0.003554189665441078,0.017120867430656043
12.065525405405406,0.9611007615270678,0.20946036972782706,-0.0036635204278193372,0.017097412008435144
12.431147387387387,0.9597413353220118,0.21570716346106827,-0.0037726914715028046,0.01707324761972179
12.79676936936937,0.958342023703728,0.2219449927306848,-0.0038816980593894684,0.017048375416171012
13.162391351351351,0.9569028876654395,0.22817359895963454,-0.003990535463517382,0.017022796582862165
13.528013333333334,0.9554239899273075,0.23439272401026479,-0.004099198965323111,0.016996512338215676
13.893635315315315,0.9539053949329735,0.24060211019649091,-0.004207683855899285,0.016969523933907483
14.259257297297298,0.952347168846022,0.2468015002959471,-0.0043159854362512665,0.01694183265478114
14.624879279279279,0.950749379546283,0.25299063756209095,-0.004424099017552812,0.016913439818757873
14.990501261261262,0.9491120966258515,0.25916926573624277,-0.004532019921400667,0.01688434677674503
15.356123243243243,0.94743539138548,0.26533712905967427,-0.004639743480068472,0.016854554912540804
15.721745225225225,0.9457193368305452,0.27149397228559924,-0.004747265036759458,0.016824065642737748
16.08736720720721,0.9439640076670137,0.2776395406911488,-0.004854579945858162,0.01679288041662385
16.45298918918919,0.9421694802973184,0.28377358008930986,-0.004961683573181105,0.016761000716081373
16.81861117117117,0.9403358328161344,0.28989583684082354,-0.005068571296226374,0.016728428055483555
17.18423315315315,0.9384631450060585,0.2960060578660448,-0.00517523850442212,0.016695163981589142
17.549855135135136,0.9365514983331953,0.30210399065676136,-0.005281680599373922,0.016661210073434796
17.915477117117117,0.9346009759426517,0.3081893832879734,-0.005387892995111015,0.01662656794222535
18.281099099099098,0.9326116626539431,0.31426198442963305,-0.0054938711183313655,0.01659123923122193
18.646721081081083,0.9305836449563153,0.3203215433583433,-0.005599610408645559,0.01655522561562794
19.012343063063064,0.9285170110039822,0.3263678099690166,-0.005705106318819493,0.01651852880247296
19.377965045045045,0.9264118506112852,0.3324005347864936,-0.005810354315015861,0.0164811505304945
19.743587027027026,0.9242682552477748,0.3384194689771203,-0.0059153498770343794,0.016443092570017647
20.10920900900901,0.9220863180332185,0.3444243643602849,-0.006020088498550782,0.01640435672283263
20.47483099099099,0.9198661337324733,0.3504149734198958,-0.006124565687354464,0.016364944822070494
20.840452972972972,0.9176077987500596,0.3563910493157596,-0.006228776965584688,0.016324858732077473
21.206074954954953,0.9153114111251084,0.362352345895034,-0.006332717869965791,0.016284100348285827
21.571696936936938,0.9129770705259155,0.3682986177035487,-0.006436383952040822,0.01624267159708367
21.93731891891892,0.9106048782444841,0.37422961999710136,-0.006539770778403875,0.016200574435682624
