time_s,theta_rad,omega_rad_s
0.0,0.7853981633974483,0.0
0.01001001001001001,0.7850506529389962,-0.0694285675672435
0.02002002002002002,0.7840083890011477,-0.13880885061518172
0.03003003003003003,0.7822722754955074,-0.20809259986176615
0.04004004004004004,0.7798434356705092,-0.2772316029897451
0.050050050050050046,0.776723448509627,-0.34617726430796103
0.06006006006006006,0.7729144165467108,-0.41488055915714245
0.07007007007007007,0.7684189658659866,-0.4832920339099036
0.08008008008008008,0.7632402461020571,-0.5513618059707449
0.09009009009009009,0.7573819304399009,-0.6190395637760522
0.10010010010010009,0.7508482156148728,-0.6862745667940979
0.11011011011011011,0.7436438219127042,-0.7530156455250396
0.12012012012012012,0.7357739931695023,-0.8192112015009216
0.13013013013013014,0.7272444967717508,-0.8848092072856732
0.14014014014014015,0.7180616236563097,-0.9497572064751103
0.15015015015015015,0.7082321883104148,-1.0140023136969343
0.16016016016016016,0.6977635292759201,-1.0774912264338952
0.17017017017017017,0.6866647179276061,-1.1401973973756268
0.18018018018018017,0.6749449568448646,-1.2020802472892607
0.19019019019019018,0.6626127631159493,-1.2630695939500387
0.20020020020020018,0.6496772428158604,-1.323096637293529
0.21021021021021022,0.6361480910063435,-1.3820939594156276
0.22022022022022023,0.622035591735891,-1.4399955245725555
0.23023023023023023,0.6073506180397408,-1.4967366791808618
0.24024024024024024,0.5921046319398771,-1.5522541518174218
0.2502502502502503,0.5763096844450298,-1.6064860532194383
0.2602602602602603,0.5599784155506755,-1.6593718762844394
0.2702702702702703,0.5431240542390363,-1.7108524960702818
0.2802802802802803,0.5257604184790804,-1.760870169795147
0.2902902902902903,0.5079019152265222,-1.8093685368375452
0.3003003003003003,0.4895635404238221,-1.8562926187363122
0.3103103103103103,0.4707608790001865,-1.9015888191906112
0.3203203203203203,0.45151010487156795,-1.9452049240599314
0.3303303303303303,0.4318279809406649,-1.9870901013640894
0.34034034034034033,0.41173185909692195,-2.027194901283228
0.35035035035035034,0.3912396802165298,-2.0654712561578177
0.36036036036036034,0.3703699741624249,-2.1018724804886553
0.37037037037037035,0.34914185978429024,-2.1363532709368633
0.38038038038038036,0.32757504491855427,-2.1688697063238926
0.39039039039039036,0.30568982638839204,-2.19937924763152
0.40040040040040037,0.2835070900037242,-2.2278407380018503
0.41041041041041043,0.26104831056121763,-2.254214402737313
0.42042042042042044,0.2383355518442855,-2.2784618493006654
0.43043043043043044,0.21539146662308672,-2.300546067314992
0.44044044044044045,0.1922392966545261,-2.3204314285637038
0.45045045045045046,0.168902872682255,-2.3380836869905375
0.46046046046046046,0.14540661443667025,-2.3534699786995588
0.47047047047047047,0.12177553063491531,-2.3665588219551577
0.4804804804804805,0.09802795284701574,-2.377341768841586
0.4904904904904905,0.07417996903100108,-2.385824132402352
0.5005005005005005,0.05025681482653306,-2.391989190486646
0.5105105105105106,0.02628347899229863,-2.395823642785227
0.5205205205205206,0.0022846602109372616,-2.3973177338755813
0.5305305305305306,-0.0217152329109587,-2.396465253221928
0.5405405405405406,-0.04569208184284396,-2.3932635351752127
0.5505505505505506,-0.06962205813022032,-2.3877134589731135
0.5605605605605606,-0.09348162339463689,-2.379819448740036
0.5705705705705706,-0.11724752933368968,-2.3695894734871175
0.5805805805805806,-0.14089681772102203,-2.3570350471122223
0.5905905905905906,-0.16440682040632437,-2.3421712283999474
0.6006006006006006,-0.1877551593153342,-2.3250166210216165
0.6106106106106106,-0.21091974644983624,-2.305593373535286
0.6206206206206206,-0.23387878388766226,-2.2839271793857394
0.6306306306306306,-0.2566107637826912,-2.260047276904491
0.6406406406406406,-0.2790944683648493,-2.233986449309785
0.6506506506506506,-0.30130896994010964,-2.205781024706595
0.6606606606606606,-0.32323363089049256,-2.1754708760866235
0.6706706706706707,-0.3448481036740657,-2.143099421328304
0.6806806806806807,-0.3661323308249438,-2.1087136231967993
0.6906906906906907,-0.3870665449532883,-2.072363989344001
0.7007007007007007,-0.4076312687453084,-2.034104572308531
0.7107107107107107,-0.4278073149632601,-1.9939929695157415
0.7207207207207207,-0.4475757864454465,-1.952090323277713
0.7307307307307307,-0.46691807610621794,-1.908461320793257
0.7407407407407407,-0.485815866935972,-1.8631741941479136
0.7507507507507507,-0.5042511320011531,-1.8163007203139532
0.7607607607607607,-0.5222061344442532,-1.767916221150376
0.7707707707707707,-0.539663427483811,-1.7180995634029115
0.7807807807807807,-0.5566084738268838,-1.666917850772432
0.7907907907907907,-0.5730378311349277,-1.6143692946847537
0.8008008008008007,-0.5889385512488781,-1.560498991641686
0.8108108108108109,-0.6042966769689291,-1.5053607669103526
0.8208208208208209,-0.6190988653489886,-1.4490084195724804
0.8308308308308309,-0.6333323876966797,-1.3914957225243978
0.8408408408408409,-0.6469851295733396,-1.3328764224770346
0.8508508508508509,-0.6600455907940206,-1.2732042399559245
0.8608608608608609,-0.6725028854274888,-1.2125328693012016
0.8708708708708709,-0.6843467417962252,-1.1509159786676038
0.8808808808808809,-0.6955675024764254,-1.0884072100244695
0.8908908908908909,-0.7061561242979992,-1.0250601791557412
0.9009009009009009,-0.7161041783445716,-0.9609284756599622
0.9109109109109109,-0.7254038499534812,-0.8960656629502785
0.9209209209209209,-0.7340479387157819,-0.830525278254438
0.9309309309309309,-0.7420298584762417,-0.7643608326147912
0.9409409409409409,-0.7493436373333433,-0.6976258108882905
0.950950950950951,-0.7559839176392839,-0.630373671746491
0.960960960960961,-0.7619459559999752,-0.562657847675549
0.970970970970971,-0.7672256232750434,-0.49453174497622365
0.980980980980981,-0.7718194045778295,-0.42604874376387647
