# t,q1,q2,p1,p2,H
1.600266711118519813e-01,1.445641863391380122e+00,1.570015262030018066e+00,-3.134692282723641199e+00,-1.569962411284252735e+00,2.942999999999531724e+01
1.633605600933488722e-01,1.440412909229213279e+00,1.569913508186390638e+00,-3.199549780661648413e+00,-1.602688065081851132e+00,2.942999999999844007e+01
1.666944490748457908e-01,1.435081145489304877e+00,1.569801064378754107e+00,-3.264358878231254923e+00,-1.635417201067620896e+00,2.943000000000003169e+01
1.700283380563427094e-01,1.429647069098966439e+00,1.569677076313628739e+00,-3.329116338753931092e+00,-1.668150322074319680e+00,2.942999999999970129e+01
1.733622270378396280e-01,1.424111203402390835e+00,1.569540644124170825e+00,-3.393818766055800573e+00,-1.700887989094610475e+00,2.942999999999956273e+01
1.766961160193365465e-01,1.418474098669358252e+00,1.569390821478315656e+00,-3.458462598727822357e+00,-1.733630826164035188e+00,2.942999999999820915e+01
1.800300050008334651e-01,1.412736332561485453e+00,1.569226614761101146e+00,-3.523044104284218214e+00,-1.766379525445829213e+00,2.942999999999639016e+01
1.833638939823303837e-01,1.406898510551103598e+00,1.569046982339716623e+00,-3.587559373228854653e+00,-1.799134852511549587e+00,2.942999999999510408e+01
1.866977829638273023e-01,1.400961266290684737e+00,1.568850833915604870e+00,-3.652004313050973394e+00,-1.831897651798608528e+00,2.942999999999406668e+01
1.900316719453242209e-01,1.394925261930833438e+00,1.568637029967768104e+00,-3.716374642171636378e+00,-1.864668852225477513e+00,2.942999999999349114e+01
1.933655609268211395e-01,1.388791188384850495e+00,1.568404381291420790e+00,-3.780665883862275756e+00,-1.897449472945330839e+00,2.942999999999622673e+01
1.966994499083180303e-01,1.382559765537880514e+00,1.568151648636147311e+00,-3.844873360156730424e+00,-1.930240629218879178e+00,2.943000000000078842e+01
2.000333388898149489e-01,1.376231742397071578e+00,1.567877542451169059e+00,-3.908992185792580454e+00,-1.963043538375215169e+00,2.942999999999947391e+01
2.033672278713118675e-01,1.369807897184406542e+00,1.567580722736290344e+00,-3.973017262215897460e+00,-1.995859525825975922e+00,2.942999999999944549e+01
2.067011168528087861e-01,1.363289037367191758e+00,1.567259799006391452e+00,-4.036943271660182297e+00,-2.028690031121449522e+00,2.942999999999844718e+01
2.100350058343057047e-01,1.356675999631625773e+00,1.566913330363862933e+00,-4.100764671357519653e+00,-2.061536613993971034e+00,2.942999999999528171e+01
2.133688948158026233e-01,1.349969649795157878e+00,1.566539825686573462e+00,-4.164475687906185719e+00,-2.094400960364417141e+00,2.942999999999150162e+01
2.167027837972995419e-01,1.343170882656437692e+00,1.566137743934985949e+00,-4.228070311836572337e+00,-2.127284888270700502e+00,2.942999999998859195e+01
2.200366727787964605e-01,1.336280621785052247e+00,1.565705494576394852e+00,-4.291542292415458704e+00,-2.160190353677253317e+00,2.942999999998672678e+01
2.233705617602933791e-01,1.329299819253257464e+00,1.565241438124252094e+00,-4.354885132728655961e+00,-2.193119456124489108e+00,2.942999999998640703e+01
2.267044507417902977e-01,1.322229455311902946e+00,1.564743886790548322e+00,-4.418092085082062859e+00,-2.226074444177227551e+00,2.942999999999029015e+01
2.300383397232872162e-01,1.315070538012756085e+00,1.564211105249222244e+00,-4.481156146761154702e+00,-2.259057720631067134e+00,2.942999999999896232e+01
2.333722287047841071e-01,1.307824102777292774e+00,1.563641311512496523e+00,-4.544070056193923790e+00,-2.292071847431078613e+00,2.943000000000076000e+01
2.367061176862810257e-01,1.300491211904102773e+00,1.563032677936933235e+00,-4.606826289585115752e+00,-2.325119550233881505e+00,2.943000000000080973e+01
2.400400066677779443e-01,1.293072954043033018e+00,1.562383332309964290e+00,-4.669417058011297250e+00,-2.358203722614742315e+00,2.943000000000078842e+01
2.433738956492748629e-01,1.285570443620322134e+00,1.561691359048797523e+00,-4.731834305059082091e+00,-2.391327429841618724e+00,2.943000000000061789e+01
2.467077846307717814e-01,1.277984820223815099e+00,1.560954800497293737e+00,-4.794069705035504114e+00,-2.424493912180959221e+00,2.943000000000058591e+01
2.500416736122687000e-01,1.270317247951929573e+00,1.560171658316551246e+00,-4.856114661789391107e+00,-2.457706587692570110e+00,2.943000000000143501e+01
2.533755625937655909e-01,1.262568914731222236e+00,1.559339894963135409e+00,-4.917960308180154172e+00,-2.490969054473849198e+00,2.943000000000287386e+01
2.567094515752625372e-01,1.254741031607906621e+00,1.558457435247956990e+00,-4.979597506229296755e+00,-2.524285092314678014e+00,2.943000000000231609e+01
2.600433405567594281e-01,1.246834832018643091e+00,1.557522167968876659e+00,-5.041016847989868488e+00,-2.557658663724287518e+00,2.943000000000046867e+01
2.633772295382563744e-01,1.238851571042485000e+00,1.556531947615640954e+00,-5.102208657161203753e+00,-2.591093914294605671e+00,2.943000000000079197e+01
2.667111185197532652e-01,1.230792524640651253e+00,1.555484596137579612e+00,-5.163162991474354868e+00,-2.624595172371041674e+00,2.943000000000080618e+01
2.700450075012502116e-01,1.222658988892166176e+00,1.554377904762662022e+00,-5.223869645879859469e+00,-2.658166947998223062e+00,2.943000000000006722e+01
2.733788964827471024e-01,1.214452279226777121e+00,1.553209635866952709e+00,-5.284318156550997791e+00,-2.691813931118826719e+00,2.942999999999966576e+01
2.767127854642440488e-01,1.206173729662097127e+00,1.551977524884226467e+00,-5.344497805723571915e+00,-2.725540988998528480e+00,2.943000000000235872e+01
2.800466744457409396e-01,1.197824692049726858e+00,1.550679282249136426e+00,-5.404397627383940694e+00,-2.759353162860585851e+00,2.943000000000822780e+01
2.833805634272378859e-01,1.189406535335468584e+00,1.549312595366691081e+00,-5.464006413816871799e+00,-2.793255663714983239e+00,2.943000000000992955e+01
2.867144524087347768e-01,1.180920644838760358e+00,1.547875130600796956e+00,-5.523312723024714543e+00,-2.827253867367047313e+00,2.943000000000145633e+01
2.900483413902316676e-01,1.172368421556039708e+00,1.546364535274841634e+00,-5.582304887021641626e+00,-2.861353308594778877e+00,2.943000000000018801e+01
2.933822303717286140e-01,1.163751281490787770e+00,1.544778439678735626e+00,-5.640971020975440453e+00,-2.895559674505088221e+00,2.943000000000043670e+01
2.967161193532255048e-01,1.155070655017497838e+00,1.543114459073779088e+00,-5.699299033239892509e+00,-2.929878797043836691e+00,2.942999999999913641e+01
3.000500083347224511e-01,1.146327986280804678e+00,1.541370195691674105e+00,-5.757276636238770173e+00,-2.964316644677999601e+00,2.942999999999730676e+01
3.033838973162193420e-01,1.137524732634515923e+00,1.539543240720270711e+00,-5.814891358199528959e+00,-2.998879313249590783e+00,2.942999999999993577e+01
3.067177862977162883e-01,1.128662364123889539e+00,1.537631176270293887e+00,-5.872130555721756906e+00,-3.033573016010815415e+00,2.943000000000780503e+01
3.100516752792131792e-01,1.119742363013488839e+00,1.535631577319121810e+00,-5.928981427167570928e+00,-3.068404072850801079e+00,2.943000000001072891e+01
3.133855642607101255e-01,1.110766223362958716e+00,1.533542013627696043e+00,-5.985431026861687265e+00,-3.103378898724097112e+00,2.943000000000110816e+01
3.167194532422070163e-01,1.101735450653243964e+00,1.531360051625463292e+00,-6.041466280078388706e+00,-3.138503991297163953e+00,2.942999999999997840e+01
3.200533422237039627e-01,1.092651561465423304e+00,1.529083256256309920e+00,-6.097073998763494096e+00,-3.173785917848324978e+00,2.943000000000012051e+01
3.233872312052008535e-01,1.083516083212468617e+00,1.526709192788382019e+00,-6.152240898019615933e+00,-3.209231301412679205e+00,2.942999999999815941e+01
3.267211201866977444e-01,1.074330553925150422e+00,1.524235428581207863e+00,-6.206953613291890548e+00,-3.244846806214674917e+00,2.942999999999631910e+01
3.300550091681946907e-01,1.065096522092956466e+00,1.521659534807828784e+00,-6.261198718235046812e+00,-3.280639122407253527e+00,2.943000000000040473e+01
3.333888981496915815e-01,1.055815546560221030e+00,1.518979088129684296e+00,-6.314962743231416376e+00,-3.316614950144319174e+00,2.943000000000845517e+01
3.367227871311885279e-01,1.046489196476797279e+00,1.516191672323812689e+00,-6.368232194535050184e+00,-3.352780983010813287e+00,2.943000000000755279e+01
3.400566761126854187e-01,1.037119051302601180e+00,1.513294879861942555e+00,-6.420993574017212602e+00,-3.389143890834571238e+00,2.943000000000017380e+01
3.433905650941823651e-01,1.027706700865762102e+00,1.510286313437703365e+00,-6.473233399464850102e+00,-3.425710301918188705e+00,2.943000000000010985e+01
