q1,q2,q1t,q2t,q1tt,q2tt,L,E
1.5707963267948966,1.5707963267948966,0.0,0.0,-9.81,0.0,1.8020677649453305e-15,-1.8020677649453305e-15
1.5707766989439864,1.5707963267948462,-0.019623924760897537,-4.124477863317603e-11,-9.809999986772356,-2.2675962432362848e-08,0.0007701968591592815,-1.1497777664855324e-11
1.5707178153932948,1.570796326794206,-0.039247849269092396,-5.156941475594105e-10,-9.809999788357686,-3.6281539326845876e-07,0.003080787397109394,-1.2130828893480716e-11
1.5706196761436026,1.570796326790635,-0.05887177269625405,-2.8433432776110064e-09,-9.809998928560884,-1.8367527725146148e-06,0.006931771589959708,-1.4375578852310333e-11
1.5704822812004586,1.5707963267746212,-0.07849569266550602,-1.1098837705465264e-08,-9.809996613724078,-5.805044465922551e-06,0.012323149298743053,-2.224595768013371e-11
1.5703056305898406,1.5707963267016318,-0.09811960180326311,-3.792260981677618e-08,-9.809991732729662,-1.4172463499560868e-05,0.019254920050754305,-9.278918605692965e-11
1.5700897243194656,1.5707963265584373,-0.11774349795060297,-8.701566957900683e-08,-9.809982857003051,-2.9387995396880276e-05,0.02772708328914968,-1.7880130362413205e-10
1.5698345624285062,1.5707963262778835,-0.13736737145293373,-1.749287494650896e-07,-9.809968240524071,-5.4444819009377356e-05,0.03773963780080743,-2.6201749450671663e-10
1.5695401449741766,1.5707963257618909,-0.15699120844759135,-3.2542642192985907e-07,-9.809945819843806,-9.288027866074947e-05,0.049292581593304755,-3.554348378120853e-10
1.5692064720761851,1.5707963248052437,-0.1766149867596636,-5.765228470431123e-07,-9.809913214120561,-0.00014877582308314157,0.06238591132959752,-5.881402032059668e-10
1.5688335438230168,1.5707963232562545,-0.1962386908007369,-9.549410433275202e-07,-9.809867725141364,-0.00022675697447866532,0.0770196230594179,-7.320932401966296e-10
1.5684213604179313,1.570796320766476,-0.21586228812968242,-1.5162944509987918e-06,-9.809806337414148,-0.000331993169490028,0.09319371039783304,-9.026366598607893e-10
