q,p,q_dot,p_dot,total_energy
2.0,0.0,0.0,-10.981,6.962
1.9996566900619726,-0.027456504099690596,-0.27456504099690593,-10.977566900619726,6.96200000096597
1.9986269748781236,-0.05489584039180015,-0.5489584039180014,-10.967269748781236,6.962000003588212
1.9969114979349347,-0.0823008489624768,-0.823008489624768,-10.950114979349348,6.96200000174827
1.9945113320151762,-0.10965439697807378,-1.0965439697807378,-10.926113320151762,6.961999998123012
1.9914284441425878,-0.13694056767839394,-1.3694056767839393,-10.895284441425877,6.962006698359245
1.9876651930486784,-0.16414312288622485,-1.6414312288622483,-10.857651930486783,6.962027046134381
1.9832237532368953,-0.19124428033957236,-1.9124428033957235,-10.813237532368953,6.962059120384636
1.9781067207806518,-0.21822645505451294,-2.182264550545129,-10.762067207806517,6.962100407695516
1.9723171141922204,-0.24507226167841398,-2.4507226167841396,-10.704171141922204,6.962148008998871
1.965858374422734,-0.27176451448993405,-2.71764514489934,-10.63958374422734,6.962198819201081
1.958734364862184,-0.2982862273990226,-2.982862273990226,-10.56834364862184,6.962249691047987
1.9509493713394217,-0.3246206139469201,-3.246206139469201,-10.490493713394217,6.962297582534556
1.9425081021221575,-0.3507510873061582,-3.507510873061582,-10.406081021221576,6.962339687243655
1.9334156879169615,-0.37666126028055935,-3.7666126028055933,-10.315156879169615,6.962373547074708
1.9236776818692636,-0.4023349453052375,-4.023349453052375,-10.217776818692636,6.962397146899473
1.9133000595633525,-0.4277561544465971,-4.2775615444659705,-10.114000595633525,6.96240899075847
1.9022892190223766,-0.4529090994023338,-4.5290909940233375,-10.003892190223766,6.962408159288168
1.890651980708344,-0.4777781915014345,-4.777781915014345,-9.88751980708344,6.962394348145274
1.8783955875221217,-0.5023480417041769,-5.023480417041768,-9.764955875221217,6.962367887270975
1.8655277048034367,-0.5266034606021298,-5.2660346060212975,-9.636277048034367,6.962329740914391
1.8520564203308751,-0.5505294584181533,-5.505294584181533,-9.501564203308751,6.96228148841084
1.8379902443218825,-0.5741112450063978,-5.741112450063977,-9.360902443218825,6.962225285786989
1.8233381094327643,-0.5973342298523054,-5.973342298523054,-9.214381094327644,6.962163808341369
1.808109370758685,-0.6201840220726094,-6.201840220726093,-9.06209370758685,6.9621001744250535
1.7923138058336683,-0.6426464304153334,-6.426464304153334,-8.904138058336683,6.962037850723838
1.775961614630598,-0.6647074632597921,-6.647074632597921,-8.740616146305982,6.96198053941958
1.759063419561217,-0.6863533286165924,-6.863533286165923,-8.57163419561217,6.961932047684774
1.7416302654761273,-0.7075704341276307,-7.075704341276306,-8.397302654761273,6.961896140040855
1.723673619664791,-0.7283453870660955,-7.283453870660955,-8.21773619664791,6.961876374187165
1.705205025119047,-0.7486660470974029,-7.486660470974029,-8.033050251190469,6.961881017289817
1.6862343664059445,-0.7685259329424878,-7.685259329424878,-7.843343664059445,6.961944489652679
