角度θ(rad),广义动量p_theta,角速度dθ/dt(rad/s),dp_theta/dt,哈密顿量H
-0.7818681893615441,-1.979283857384484,-0.164940321448707,41.43085116136327,17.23884364129256
-0.7822687626927436,-1.8757594756114067,-0.1563132896342839,41.44756151412015,17.238814291699622
-0.7826477104323785,-1.7721963132458143,-0.14768302610381787,41.463363610059815,17.238782335818378
-0.7830050254571024,-1.6685965620457388,-0.13904971350381157,41.47825816919906,17.23874775955225
-0.7833407011631699,-1.5649624084882383,-0.13041353404068654,41.49224587616172,17.238710553160047
-0.7836547314654796,-1.4612960338866294,-0.12177466949055245,41.50532737993645,17.238670711388746
-0.7839471107965772,-1.3575996145128784,-0.11313330120940653,41.5175032936461,17.238628233602327
-0.7842178341056208,-1.253875321724653,-0.10448961014372109,41.528774194328896,17.238583123906324
-0.7844668968573046,-1.1501253220977503,-0.0958437768414792,41.539140622731246,17.2385353912678
-0.7846942950307417,-1.046351777563487,-0.08719598146362391,41.548603083112134,17.238485049630356
-0.7849000251183067,-0.9425568455512483,-0.07854640379593736,41.55716204305917,17.238432118024004
-0.7850840841244353,-0.8387426791362422,-0.06989522326135351,41.56481793331624,17.238376620669435
-0.7852464695643819,-0.734911427192678,-0.06124261893272317,41.57157114762261,17.23831858707641
-0.7853871794629338,-0.6310652345518761,-0.05258876954598968,41.577422042563626,17.23825805213604
-0.785506212353082,-0.5272062421661268,-0.0439338535138439,41.582370937432835,17.238195056206443
-0.7856035672746476,-0.42333658727777745,-0.03527804893981479,41.586418114105584,17.23812964519159
-0.7856792437728628,-0.3194584035937602,-0.02662153363281335,41.58956381692391,17.238061870612945
-0.7857332418969067,-0.21557382146584203,-0.0179644851221535,41.59180825259285,17.237991789673515
-0.7857655621983954,-0.111684968076041,-0.009307080673003417,41.593151590087984,17.237919465314047
-0.7857762057298252,-0.007793967628082044,-0.0006494973023401703,41.593593960574275,17.237844966261015
-0.7857651740429679,0.09609705845575078,0.0080080882046459,41.593135457335976,17.23776836706588
-0.7857324691872192,0.19998599133194261,0.016665499277661883,41.59177613571783,17.237689748135576
-0.7856780937078975,0.30387071452720704,0.02532255954393392,41.58951601307714,17.237609195753528
-0.7856020506444958,0.4077491137244671,0.03397909281037226,41.58635506874697,17.237526802091075
-0.7855043435288802,0.5116190765425657,0.0426349230452138,41.58229324401023,17.237442665208835
-0.7853849763834427,0.6154784923102703,0.05128987435918919,41.57733044208469,17.23735688904767
-0.7852439537191991,0.7193252518343343,0.05994377098619452,41.57146652811862,17.237269583408835
-0.7850812805338385,0.8231572471612658,0.06859643726343882,41.564701329197405,17.237180863923065
-0.7848969623097187,0.9269723713334734,0.07724769761112278,41.55703463436055,17.237090852008
-0.7846910050118105,1.0307685181388813,0.08589737651157343,41.54846619462944,17.236999674813834
-0.7844634150855874,1.1345435818545262,0.09454529848787718,41.53899572304551,17.236907465156605
-0.7842141994548628,1.2382954569839733,0.10319128808199778,41.528622894718815,17.236814361438885
-0.7839433655195724,1.3420220379883752,0.11183516983236459,41.517347346886915,17.236720507557344
-0.7836509211535005,1.4457212190111228,0.1204767682509269,41.505168678984,17.236626052796908
-0.7833368747019529,1.549390893596403,0.12911590779970025,41.49208645272017,17.236531151711162
-0.7830012349793714,1.6530289544010373,0.1377524128667531,41.4781001921707,17.236435963988466
-0.7826440112668931,1.7566332928999273,0.1463861077416606,41.463209383875295,17.236340654303493
-0.7822652133098518,1.860201799085047,0.15501681659042058,41.44741347694714,17.236245392153815
-0.7818648513152215,1.9637323611576285,0.16364436342980238,41.4307118831918,17.23615035168111
-0.7814429359490009,2.0672228652140774,0.1722685721011731,41.41310397723556,17.23605571147652
-0.7809994783335399,2.170671194924843,0.1808892662437369,41.394589096663516,17.235961654369955
-0.780534490044805,2.2740752312067656,0.18950626926723046,41.37516654216689,17.2358683672028
-0.7800479831095855,2.3774328518885497,0.19811940432404582,41.35483557769979,17.235776040583627
-0.7795399700026383,2.480741931369316,0.20672849428077633,41.33359543064508,17.23568486862664
-0.7790104636437714,2.58400034027056,0.21533336168921333,41.31144529198935,17.23559504867237
-0.7784594773948648,2.6872059450808194,0.22393382875673495,41.2883843165068,17.235506780990157
-0.7778870250568295,2.790356607793555,0.2325297173161296,41.264411622952025,17.235420268462253
-0.7772931208665024,2.8934501855379153,0.2411208487948263,41.23952629426139,17.235335716248873
-0.7766777794934785,2.996484530202469,0.2497070441835391,41.21372737776308,17.235253331434045
-0.7760410160368774,3.099457488051602,0.2582881240043002,41.18701388539556,17.23517332265167
-0.7753828460220449,3.2023668993350825,0.26686390827792356,41.15938479393425,17.235095899691572
-0.7747032853971901,3.3052105978899995,0.2754342164908333,41.13083904522654,17.235021273085074
-0.7740023505299551,3.4079864107356137,0.28399886756130116,41.10137554643469,17.234949653669595
-0.7732800582039179,3.510692157660838,0.2925576798050698,41.07099317028666,17.234881252132155
-0.7725364256150296,3.613325650804139,0.30111047090034493,41.03969075533479,17.23481627853116
-0.7717714703679799,3.7158846942263466,0.30965705785219555,41.00746710622185,17.234754941796165
-0.7709852104724986,3.8183670834756285,0.31819725695630235,40.974320993954784,17.23469744920531
-0.7701776643395843,3.9207706051450195,0.326730883762085,40.94025115618562,17.23464400583992
-0.7693488507776649,4.023093036422438,0.33525775303520317,40.90525629749951,17.234594814016017
-0.7684987889886881,4.125332144632807,0.3437776787194006,40.869335089709935,17.23455007269225
-0.767627498564139,4.22748568677283,0.3522904738977359,40.83248617216043,17.234509976854063
-0.7667349994809884,4.329551409037688,0.36079595075314064,40.794708152033294,17.234474716873496
-0.7658213120975679,4.431527046340058,0.36929392052833815,40.755999604664645,17.234444477844463
-0.7648864571493718,4.533410321821279,0.37778419348510656,40.71635907386581,17.23441943889303
-0.7639304557447859,4.635198946354613,0.38626657886288446,40.67578507225096,17.234399772462424
-0.7629533293607447,4.7368906180403805,0.3947408848366984,40.63427608157075,17.23438564357234
-0.7619550998383089,4.838483021693438,0.40320691847445317,40.59183055305169,17.234377209052298
-0.7609357893781729,4.939973828322245,0.4116644856935204,40.54844690774124,17.234374616748603
-0.7598954205360942,5.041360694599952,0.42011339121666263,40.50412353685846,17.234378004704727
-0.758834016218246,5.142641262327395,0.4285534385272829,40.45885880214978,17.23438750031461
-0.7577515996764959,5.243813157887615,0.43698442982396796,40.41265103625017,17.234403219448698
-0.7566481945036021,5.344873991692548,0.44540616597437904,40.36549854304885,17.234425265552353
-0.7555238246283362,5.445821357620954,0.4538184464684128,40.31739959806018,17.23445372871633
-0.7543785143105255,5.546652832448245,0.46222106937068713,40.26835244879879,17.23448868471901
-0.7532122881360144,5.647365975267789,0.47061383127231576,40.21835531515923,17.234530194040104
-0.7520251710115509,5.747958326903678,0.47899652724197317,40.1674063897999,17.23457830084562
-0.7508171881595851,5.848427409315239,0.4873689507762699,40.11550383853066,17.234633031943606
-0.7495883651129942,5.948770724992656,0.495730893749388,40.06264580070457,17.234694395710708
-0.7483387277097211,6.048985756344134,0.5040821463620112,40.0088303896131,17.23476238098898
-0.7470683020873317,6.1490699650744105,0.5124224970895342,39.95405569288461,17.23483695595288
-0.7457771146774921,6.249020791554315,0.5207517326295262,39.89831977288632,17.234918066946197
-0.7444651922003577,6.348835654181954,0.5290696378484961,39.841620667128964,17.23500563728859
-0.743132561658882,6.448511948734687,0.5373759957278906,39.78395638867449,17.235099566051588
-0.7417792503330394,6.548047047712412,0.5456705873093677,39.72532492654618,17.23519972680382
-0.7404052857739627,6.647438299671865,0.5539531916393221,39.66572424614124,17.235305966325278
-0.7390106957979954,6.7466830285520025,0.5622235857126668,39.60515228964554,17.235418103290467
-0.7375955084806585,6.845778532990153,0.5704815444158461,39.54360697645037,17.235535926920132
-0.7361597521505261,6.9447220856294365,0.5787268404691197,39.481086203570776,17.23565919560155
-0.7347034553830192,7.043510932416723,0.5869592443680602,39.41758784606562,17.235787635477223
-0.733226646994108,7.142142291891542,0.5951785243242952,39.35310975745895,17.235920939001673
-0.7317293560339246,7.2406133544658005,0.6033844462054834,39.28764977016228,17.236058763466406
-0.7302116117802916,7.3389212816939775,0.6115767734744981,39.22120569589812,17.23620072949286
-0.7286734437321523,7.437063205534415,0.6197552671278679,39.15377532612374,17.236346419493184
-0.7271148816029178,7.535036227600774,0.6279196856333978,39.08535643245575,17.2364953760989
-0.7255359553137206,7.6328374184043035,0.6360697848670253,39.01594676709476,17.236647100557256
-0.7239366949865744,7.7304638165865605,0.64420531804888,38.94554406325003,17.23680105109525
-0.722317130937446,7.827912428142472,0.6523260356785393,38.87414603556408,17.236956641251393
-0.7206772936692287,7.925180225634087,0.6604316854695073,38.80175038053658,17.23711323817507
-0.7190172138646271,8.02226414739437,0.6685220122828642,38.72835477694787,17.237270160893562
-0.7173369223789456,8.119161096721498,0.6765967580601249,38.65395688628141,17.237426678546736
-0.7156364502327821,8.215867941063305,0.6846556617552754,38.57855435314526,17.237582008589463
-0.7139158286046272,8.312381511192036,0.692698459266003,38.50214480569216,17.237735314961824
-0.7121750888233687,8.408698600369053,0.7007248833640878,38.42472585603811,17.237885706227168
-0.7104142623606948,8.504815963499965,0.708734663624997,38.346295100678965,17.238032233678087
-0.7086333808234072,8.600730316279478,0.7167275263566232,38.26685012090542,17.23817388941057
-0.7068324759456304,8.696438334326444,0.7247031945272037,38.18638848321532,17.238309604366297
-0.7050115795809266,8.791936652308806,0.7326613876924005,38.10490773972383,17.238438246343406
-0.7031707236943123,8.887221863058315,0.7406018219215262,38.022405428570856,17.23855861797579
-0.70130994035417,8.982290516675384,0.7485242097229486,37.93887907432535,17.23866945468126
-0.6994292617240665,9.077139119623467,0.7564282599686223,37.85432618838671,17.238769422578752
-0.6975287200544669,9.171764133813259,0.7643136778177716,37.76874426938273,17.238857116374806
-0.6956083476743478,9.266161975676681,0.7721801646397234,37.682130803563915,17.238931057219745
-0.6936681769827119,9.36032901523027,0.7800274179358558,37.59448326519409,17.238989690533703
-0.6917082404399937,9.45426157512853,0.7878551312607108,37.50579911693678,17.23903138380304
-0.6897285705593683,9.547955929706465,0.7956629941422054,37.41607581023743,17.239054424347337
-0.6877292220181785,9.64140938548692,0.80345078212391,37.32531179071456,17.23905871161374
-0.6857104588552921,9.734629853151848,0.8112191544293207,37.23351502650223,17.23906052283641
-0.6836723788968238,9.827617878474756,0.818968156539563,37.14068596785309,17.23906416184166
-0.6816150202623474,9.920371098626157,0.8266975915521798,37.046822348934896,17.239069378234504
-0.6795384222192241,10.012887131443923,0.8344072609536602,36.95192194936169,17.239075942346613
-0.6774426251640803,10.105163575969287,0.8420969646641073,36.85598259457063,17.239083644127756
-0.6753276706045963,10.197198012978417,0.8497665010815347,36.759002156215246,17.23909229207097
-0.6731936011416046,10.288988005509372,0.857415667125781,36.66097855257513,17.239101712170978
-0.6710404604515012,10.38053109938435,0.8650442582820291,36.56190974898136,17.239111746915622
-0.6688682932689539,10.471824823727681,0.8726520686439735,36.46179375825702,17.239122254309734
-0.6666771453699213,10.562866691479018,0.8802388909565848,36.36062864117286,17.23913310693101
-0.6644670635549677,10.653654199902142,0.8878045166585119,36.25841250691703,17.239144191017648
-0.6622380956328754,10.74418483108935,0.8953487359241126,36.15514351357888,17.239155405587034
-0.6599902904045554,10.834456052461183,0.9028713377050986,36.05081986864616,17.239166661585276
-0.6577236976472415,10.92446531726208,0.9103721097718399,35.945439829515024,17.239177881067054
-0.6554383680989824,11.01421006505131,0.9178508387542759,35.839001704012794,17.239188996405307
-0.6531343534434149,11.10368772218968,0.9253073101824733,35.73150385093267,17.239199949530384
-0.6508117062948225,11.192895702321856,0.9327413085268214,35.62294468058006,17.23921069119818
-0.6484704801834741,11.281831406854412,0.9401526172378677,35.513322655330164,17.239221180286812
-0.6461107295412435,11.37049222542939,0.9475410187857825,35.402636290196355,17.239231383121293
-0.6437325096874985,11.458875536393913,0.9549062946994927,35.29088415340866,17.239241272826014
-0.6413358768152688,11.546978707265236,0.9622482256054363,35.17806486700239,17.239250828704158
-0.6389208879776814,11.634799095191703,0.9695665912659752,35.06417710741615,17.23926003564401
-0.6364876010746617,11.72233404740952,0.97686117061746,34.94921960609881,17.239268883551397
-0.6340360748399051,11.809580901695183,0.984131741807932,34.83319115012537,17.23927736680795
-0.6315663688281006,11.896536986814056,0.9913780822345046,34.7160905828207,17.23928548375464
-0.6290785434024229,11.983199622964515,0.9985999685803763,34.5979168043913,17.239293236200204
-0.6265726597222759,12.069566122218138,1.0057971768515115,34.478668772564525,17.23930062895384
-0.6240487797312907,12.155633788955805,1.0129694824129838,34.35834550323457,17.23930766938192
-0.6215069661455781,12.241399920299596,1.0201166600249663,34.236946071115455,17.239314366987998
-0.6189472824422214,12.326861806540943,1.0272384838784119,34.114469610399695,17.239320733015866
-0.6163697928480228,12.412016731564496,1.0343347276303747,33.99091531542325,17.239326780074958
-0.6137745623284887,12.496861973268114,1.0414051644390094,33.86628244133565,17.23933252178784
-0.6111616565770543,12.581394803978943,1.0484495669982452,33.740570304775204,17.239337972459175
-0.6085311420045516,12.66561249086536,1.0554677075721133,33.6137782845491,17.23934314676565
-0.6058830857289013,12.749512296345335,1.062459358028778,33.485905822317264,17.239348059466522
-0.6032175555650463,12.833091478490596,1.0694242898742163,33.35695242328061,17.2393527251342
-0.6005346200151108,12.916347291427071,1.0763622742855892,33.22691765687265,17.239357157904394
-0.597834348258785,12.999276985731475,1.0832730821442895,33.09580115745417,17.239361371245334
-0.5951168101439342,13.081877808824098,1.0901564840686748,32.96360262501077,17.239365377745653
-0.5923820761774329,13.164147005357663,1.0970122504464719,32.830321825853,17.239369188920342
-0.5896302175162075,13.246081817602706,1.103840151466892,32.695958593318046,17.239372815034404
-0.5868613059585049,13.327679485828925,1.1106399571524104,32.56051282847371,17.23937626494359
-0.5840754139353688,13.40893724868295,1.1174114373902457,32.42398450082332,17.2393795459519
-0.5812726145023257,13.489852343562424,1.1241543619635352,32.286373649011736,17.239382663685202
-0.578452981331284,13.570422006986275,1.1308685005821897,32.14768038153218,17.23938562198061
-0.5756165887026274,13.650643474961619,1.1375536229134682,32.0079048774329,17.239388422791063
-0.5727635114975209,13.730513983346759,1.14420949861223,31.867047387024158,17.23939106610471
-0.5698938251904094,13.81003076821074,1.150835897350895,31.7251082325846,17.23939354987847
-0.5670076058417155,13.889191066189323,1.1574325888491102,31.582087809066916,17.239395869985486
-0.5641049300907336,13.967992114837259,1.1639993429031048,31.43798658480251,17.239398020175834
-0.5611858751487068,14.046431152977355,1.1705359294147797,31.29280510220433,17.23939999205012
-0.5582505187921011,14.124505421045717,1.1770421184204765,31.14654397846834,17.239401775045412
-0.5552989393560609,14.202212161433694,1.1835176801194744,30.999203906272616,17.23940335643307
-0.5523312157280487,14.279548618826324,1.1899623849021936,30.850785654474077,17.239404721328057
-0.5493474273416625,14.356512040537385,1.1963760033781154,30.70129006880227,17.239405852709165
-0.5463476541706382,14.43309967684091,1.2027583064034093,30.550718072550385,17.239406731449755
-0.5433319767230145,14.509308781299604,1.2091090651083003,30.399070667262215,17.239407336358553
-0.5403004760354806,14.585136611089611,1.2154280509241342,30.246348933415835,17.239407644229992
-0.5372532336678891,14.660580427322124,1.221715035610177,30.092554031102964,17.239407629903702
-0.5341903316979341,14.735637495361656,1.227969791280138,29.937687200703788,17.23940726633267
-0.5311118527159995,14.810305085140925,1.2341920904284105,29.781749763557347,17.239406524659604
-0.5280178798201574,14.884580471472724,1.2403817059560602,29.62474312262625,17.239405374301075
-0.5249084966113355,14.958460934358325,1.246538411196527,29.46666876315651,17.239403783039016
-0.5217837871886359,15.031943759292771,1.2526619799410643,29.307528253331373,17.239401717119048
-0.5186438361448051,15.105026237567017,1.2587521864639182,29.14732324491908,17.239399141355342
-0.5154887285618611,15.177705666566773,1.264808805547231,28.986055473914487,17.239396019241394
-0.5123185500068571,15.24997935006845,1.2708316125057042,28.823726761173507,17.239392313066524
-0.5091333865278003,15.321844598531786,1.2768203832109821,28.660339013041007,17.23938798403743
-0.5059333246497082,15.39329872938946,1.2827748941157884,28.49589422197116,17.239382992404558
-0.5027184513708044,15.464339067333661,1.288694922277805,28.330394467140117,17.23937729759277
-0.4994888541588512,15.534962944599624,1.294580245383302,28.16384191505079,17.239370858336
-0.49624462094762045,15.605167701246042,1.3004306417705036,27.99623882012951,17.239363632815312
-0.4929858401334855,15.674950685432723,1.306245890452727,27.827587525313614,17.239355578800215
-0.4897126005721524,15.744309253695047,1.312025771141254,27.657890462630686,17.239346653792595
-0.48642499157551145,15.813240771215611,1.3177700642679675,27.487150153768276,17.23933681517307
-0.48312310290861143,15.881742612092943,1.3234785510077451,27.31536921063415,17.239326020349186
-0.47980702478676096,15.949812159607216,1.3291510133006013,27.142550335906982,17.2393142269053
-0.4764768478727346,16.017446806483342,1.3347872338736118,26.968696323576346,17.239301392753614
-0.4731326632741063,16.084643955150952,1.3403869962625794,26.793810059472815,17.239287476285966
-0.4697745625406893,16.151401018001746,1.3459500848334789,26.6178945217871,17.239272436526278
-0.4664026376620852,16.21771541764396,1.3514762848036632,26.440952781578098,17.239256233282916
-0.46301698106534556,16.283584587154007,1.3569653822628338,26.26298800326991,17.23923882730093
-0.4596176856127263,16.349005970325607,1.3624171641938005,26.08400344513658,17.239220180413703
-0.45620484459955457,16.413977021915944,1.3678314184929954,25.904002459775548,17.239200255693724
-0.4527785517521886,16.478495207889225,1.3732079339907688,25.722988494568494,17.239179017602005
-0.4493389012260751,16.54255800565759,1.3785465004714659,25.540965092129746,17.239156432136085
-0.44588598760389764,16.60616290431938,1.3838469086932816,25.35793589074176,17.239132466976077
-0.4424199058938221,16.66930740489464,1.3891089504078866,25.17390462477776,17.23910709162853
-0.43894075152781786,16.731989020558288,1.3943324183798573,24.988875125110347,17.23908027756784
-0.435448620360076,16.79420527687048,1.3995171064058731,24.802851319507013,17.239051998374904
-0.43194360866550296,16.855953712004496,1.404662809333708,24.615837233011277,17.23902222987264
-0.42842581313829514,16.917231876972167,1.409769323081014,24.427836988309547,17.238990950258245
-0.42489533089059534,16.978037335846622,1.4148364446538853,24.23885480608372,17.238958140231794
-0.4213522594512115,17.03836766598283,1.4198639721652357,24.04889500534819,17.238923783121024
-0.417796696764419,17.098220458235453,1.4248517048529543,23.8579620037724,17.238887865001928
-0.41422874118882547,17.15759331717436,1.4297994430978633,23.66606031798754,17.238850374815044
-0.41064849149630167,17.216483861297778,1.4347069884414816,23.47319456387756,17.2388113044771
-0.4070560468709818,17.274889723242907,1.4395741436035756,23.279369456854436,17.238770648987792
-0.40345150690831166,17.332808549994443,1.4444007124995368,23.084589812116533,17.238728406531614
-0.3998349716141673,17.390238003090516,1.449186500257543,22.88886054489097,17.238684578574308
-0.3962065414040224,17.447175758826454,1.4539313132355378,22.69218667065886,17.238639169953867
-0.3925663171021678,17.503619508456254,1.4586349590380212,22.494573305363353,17.238592188965956
-0.38891439994098753,17.5595669583917,1.4632972465326415,22.296025665600673,17.23854364744333
-0.3852508915602685,17.61501583039943,1.4679179858666191,22.096549068792765,17.238493560829365
-0.38157589400656716,17.669963861795623,1.4724969884829686,21.89614893334264,17.23844194824529
-0.37788950973261165,17.724408805638568,1.4770340671365474,21.69483077877124,17.238388832551113
-0.3741918415967436,17.778348430919095,1.4815290359099247,21.492600225835847,17.238334240400036
-0.37048299286239467,17.831780522748844,1.4859817102290702,21.28946299662968,17.2382782022862
-0.36676306719760304,17.884702882546335,1.4903919068788614,21.08542491466288,17.238220752585658
-0.36303216867454763,17.9371133282212,1.4947594440184335,20.88049190492352,17.238161929590476
-0.3592904017691225,17.989009694356064,1.4990841411963387,20.674669993919803,17.238101775535768
-0.35553787136053094,18.040389832386552,1.503365819365546,20.467965309702166,17.238040336619648
-0.3517746827309006,18.091251610779274,1.507604300898273,20.260384081865368,17.23797766301599
-0.3480009415649267,18.141592915207703,1.511799409600642,20.051932641530744,17.23791380887983
-0.34421675394951723,18.191411648726266,1.5159509707271888,19.84261742130715,17.237848832345456
-0.3404222263734666,18.240705731942377,1.520058810995198,19.632444955231986,17.23778279551706
-0.33661746572713414,18.289473103186538,1.5241227585988781,19.42142187869087,17.23771576445187
-0.33280257930213114,18.337711718680644,1.528142643223387,19.209554928316123,17.23764780913577
-0.3289776747910207,18.38541955270427,1.5321182960586892,18.996850941864185,17.237579003451348
-0.3251428602870082,18.432594597759326,1.5360495498132771,18.783316858070712,17.23750942513836
-0.3212982442836444,18.47923486473269,1.539936238727724,18.568959716484457,17.23743915574658
-0.31744393567452145,18.52533838305714,1.543778198588095,18.3537866572788,17.23736828058099
-0.3135800437529645,18.570903200870532,1.547575266739211,18.13780492104102,17.23729688863948
-0.30970667821171405,18.61592738517318,1.551327282097765,17.921021848538995,17.237225072542767
-0.3058239491426062,18.660409021983497,1.5550340851652915,17.703444880465593,17.23715292845693
-0.3019319670362249,18.704346216492056,1.5586955180410047,17.48508155715944,17.237080556008255
-0.2980308427815532,18.74773709321385,1.5623114244344876,17.265939518303306,17.237008058190693
-0.29412068766559873,18.790579796138957,1.5658816496782464,17.046026502598902,17.2369355412658
-0.2902016133729983,18.832872488881584,1.569406040740132,16.825350347418176,17.23686311465533
-0.28627373198560563,18.87461335482744,1.57288444623562,16.60391898843138,17.236790890826494
-0.28233715598203785,18.9158005972797,1.576316716439975,16.381740459210555,17.236718985170086
-0.2783919982372083,18.95643243960323,1.579702703300269,16.158822890809812,17.23664751587132
-0.2744383720218184,18.99650712536738,1.5830422604472816,15.935174511321105,17.23657660377377
-0.2704763910018167,19.036022918487284,1.5863352432072737,15.71080364540572,17.236506372236335
-0.2665061692378255,19.074978103363577,1.5895815086136313,15.485718713801672,17.236436946983403
-0.2625278211845154,19.113370985020843,1.5927809154184036,15.259928232805809,17.2363684559484
-0.258541461689949,19.151199889244456,1.5959333241037046,15.033440813731897,17.236301029110717
-0.2545472059948738,19.18846316271609,1.5990385968930074,14.806265162343536,17.236234798326354
-0.2505451697319666,19.225159173147865,1.602096597762322,14.578410078262138,17.236169897152333
-0.24653546892502648,19.261286309415084,1.605107192451257,14.349884454349722,17.236106460664963
-0.2425182199881208,19.296842981687654,1.608070248473971,14.120697276066943,17.23604462527236
-0.23849353972466014,19.331827621560272,1.6109856351300227,13.89085762080496,17.235984528521264
-0.23446154532642915,19.366238682181198,1.6138532235150997,13.660374657192751,17.235926308898232
-0.23042235437254743,19.400074638379863,1.6166728865316553,13.429257644378485,17.235870105625732
-0.22637608482836608,19.433333986793215,1.6194444988994345,13.197515931285306,17.235816058453022
-0.22232285504430443,19.466015245990818,1.6221679371659015,12.965158955841936,17.235764307442267
-0.21826278375460179,19.49811695659885,1.6248430797165707,12.732196244186635,17.235714992749994
-0.21419599007601092,19.52963768142284,1.6274698067852367,12.498637409846273,17.23566825440411
-0.21012259350640894,19.560576005569338,1.6300480004641116,12.264492152889106,17.235624232076923
-0.20604271392332973,19.59093053656644,1.63257754471387,12.029770259051686,17.235583064854147
-0.20195647158242291,19.620699904483203,1.6350583253736002,11.794481598840266,17.23554489100039
-0.1978639871158147,19.64988276204807,1.6374902301706724,11.558636126605435,17.235509847721207
-0.1937653815303943,19.67847778476617,1.639873148730514,11.32224387959147,17.235478070922106
-0.18966077620601296,19.706483671035617,1.6422069725863013,11.085314976959806,17.235449694964856
-0.18555029289357683,19.7338991422629,1.644491595188575,10.847859618785696,17.2354248524212
-0.1814340537130602,19.760722942977186,1.6467269119147654,10.609888085029748,17.23540367382442
-0.17731218115141356,19.786953840943752,1.648912820078646,10.371410734483064,17.235386287419004
-0.17318479806037468,19.812590627276478,1.6510492189397066,10.132438003686584,17.23537281890881
-0.1690520276541747,19.837632116549457,1.6531360097124548,9.892980405824412,17.235363391203883
-0.1649139935071412,19.862077146907716,1.655173095575643,9.653048529591405,17.235358124166456
-0.16077081955119055,19.88592458017709,1.6571603816814242,9.4126530380348,17.235357134356263
-0.15662263007321187,19.909173301973308,1.6590977751644422,9.17180466737023,17.23536053477572
-0.1524695497123324,19.93182222181026,1.660985185150855,8.930514225771752,17.235368434615115
-0.14831170345708233,19.95387027320742,1.662822522767285,8.688792592137215,17.235380938998293
-0.14414921664241132,19.97531641379669,1.6646097011497243,8.44665071482636,17.23539814872916
